Age,Male,Female,Total
25,28794,28484,57278
26,27683,28574,56257
27,30239,31413,61652
28,28452,31004,59456
29,30054,32738,62792
30,32752,35595,68347
31,32801,35533,68334
32,34210,37562,71772
33,35990,39714,75704
34,37426,40392,77818
35,39840,41705,81545
36,40892,42304,83196
37,37494,39690,77184
38,36818,37863,74681
39,36001,36814,72815
40,36521,36893,73414
41,35674,36300,71974
42,35307,35865,71172
43,35450,35838,71288
44,34530,35082,69612
45,35243,35214,70457
46,33525,33683,67208
47,31932,31708,63640
48,31315,31631,62946
49,30809,31050,61859
50,30765,31223,61988
51,30446,31352,61798
52,29603,30580,60183
53,29032,29875,58907
54,28366,28693,57059
55,28324,28932,57256
56,27045,27862,54907
57,27175,27284,54459
58,25894,26534,52428
59,25420,25632,51052
60,24802,25063,49865
61,24435,24810,49245
62,23536,23764,47300
63,23523,23879,47402
64,22402,22642,45044
